term,total_tfidf
amt,2956.187761046315
great,2946.3552801059254
understand,2903.5212355575063
device,2722.100749012063
line,2615.8206138474015
time,2435.607529758722
completely,2373.805686886742
new,2297.8055582539887
phone,2150.066328802245
team,2137.0981419179857
network,2089.251087924276
credit,2074.7483756739443
hear,2028.8226733237843
sorry,2010.2258446503026
appreciate,2009.7921670027836
wonderful,1995.8619666225177
completely understand,1970.2019491570663
store,1964.2936775499895
day,1939.0817542155717
great day,1879.8216797947646
wonderful great,1879.8216797947646
added,1860.805829878065
went,1860.3636344697868
assist,1857.563475094029
documented,1836.1523362436703
dispute,1792.109037796131
care,1743.8206296940332
service,1703.0349870971922
patience,1695.670071808267
actually,1692.5043372607222
